Name,URL,Description,Image,,
A9 Radio,https://a9radio1-a9media.radioca.st/stream,A9 RADIO Worlds # 1 Tamil Online Streaming Radio.A9 RADIO PLAYS High quality online Tamil radio AND Very good Tamil music,https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/a9logos.jpg,,
Thendral FM SLBC,https://www.liveradio.es/http://220.247.227.20:8000/Threndralstream,"
Thendral FM தென்றல் பண்பலை is a Sri Lankan radio station broadcasting at 104.7 / 104.9 FM. Slbc Radio",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/thendralfm.jpg,,
Covai FM,https://stream.zenolive.com/kzd2e3tx24zuv,"
Covai FM is the Number One Online Tamil Radio Station in the World!We are the Very Clearest Radio Channel in Tamil on Online…Stay Tuned with Us.Listen to Covai FM 95.5 live streaming online playing non stop Tamil super hit songs.Listen to Covai FM Coimbatore number one online radio staion.",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/covaifm.jpg,,
Amudham FM HQ,https://listen.openstream.co/6789/audio,"
Amudham FM HQ is a Number 1 Tamil radio station broadcasting 24 hours from Thiruvarur.Listen to Amudham FM 3D live streaming online playig Tamil songs  Amudham FM HQ radio plays Tamil super hit songs non stop live 24/7 online",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/Amudham-Radios-Logo-512x512-1.png,,
Radio Beat Thaalam,https://www.liveradio.es/http://live.exertion.in:8050/radio.mp3,"
Radio Beat Thaalam is a Tamil internet radio station from the house of Radio Beat.Radio Beat Thaalam Tamil radio is a beat radio station which makes people to dance.Listen to Radio Beat Thaalam tamil radio sttaion live """,https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/radiobeatthaalam.jpg,,
Nanban FM,https://nanbanfm-unicast2u.radioca.st/stream,"
Nanban FM Tamil Online Radio From Dharmapuji",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/nanbanfm.jpg,,
Star Tamil Radio,https://www.liveradio.es/http://s3.voscast.com:8402/.mp3,"
Listen to Star Tamil Radio the number one Tamil Radio channel in Sri Lanka. You can now listen from any where in the world to the Star Tamil Radio brought to you by the Voice of Asia Network. Listen to new songs",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/STAR-Tamil-Radio-Logo.jpg,,
TRT Tamil Oli,https://radio13.pro-fhi.net:19236/stream.mp3,"
TRT Tamil Oli Radio France Brings all Tamilian across globe together. ‘Welcome to ரி-ஆர்-ரி’ (TRT) தமிழ்ஒலி வானொலி",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/TRTTamilOli_2.jpg,,
Ilaiyaraja Radio,https://stream.zeno.fm/uayzbqr53d0uv,"
Ilaiyaraja Radio Tamil Music radio station online.Ilaiyaraja Radio plays non stop super hits Tamil songs composed by Isaignani Ilaiyaraja.Ilaiyaraja Radio plays 24/7 the best collection of super hit Tamil songs.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/ilayaraja.jpg,,
Madurai Tamilan Vaanoli,https://maduraitamilan-unicast2u.radioca.st/stream,"
Madurai Tamilan Vaanoli is Tamil radio station broadcasting from Chennai.Madurai Tamilan Vaanoli programs consists of various Tamil songs programs and interviews.Listen to Madurai Tamilan Vaanoli """,https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/maduraitamillanradio.jpg,,
